834 2630
520 511 387
214 655 608
712 66 223
138 125 953
331 716 603
68 696 836
730 668 21
234 198 359
686 266 56
406 310 268
75 476 908
712 39 179
388 768 90
359 631 360
614 661 904
466 675 268
19 721 990
696 604 810
402 144 754
428 185 626
27 554 367
16 632 708
725 226 566
270 741 975
676 381 872
328 706 457
72 135 240
776 487 994
115 631 580
257 87 635
29 464 48
22 509 266
174 398 664
54 215 215
447 271 219
200 506 473
221 689 506
591 625 589
347 56 485
46 398 655
608 346 507
27 830 663
392 278 597
331 229 51
659 541 109
161 245 559
286 226 399
96 626 282
289 659 138
321 12 836
832 64 377
220 444 821
621 564 245
778 14 474
451 540 183
82 361 260
760 694 941
814 435 85
631 450 178
135 677 960
323 618 208
781 149 710
274 105 980
623 425 833
9 813 602
401 505 500
90 238 806
391 791 819
759 269 663
366 132 289
618 132 483
207 510 243
66 715 580
463 15 926
158 785 86
354 190 297
374 113 962
563 426 453
279 392 57
61 341 13
625 409 369
694 311 134
605 178 44
45 812 924
240 749 504
277 94 775
294 820 539
160 409 221
108 587 269
344 88 229
138 827 453
405 367 912
34 574 970
701 490 600
513 73 193
344 658 314
814 736 401
641 138 871
46 409 292
424 188 414
722 765 19
719 434 158
66 692 930
523 180 318
636 9 563
475 581 229
564 327 955
172 455 295
70 346 646
398 647 542
52 100 311
115 144 244
279 442 141
494 652 13
491 296 35
687 417 313
419 778 860
562 828 437
604 284 621
405 325 952
219 700 900
86 90 986
519 313 640
142 708 660
231 63 247
225 686 713
122 373 534
401 768 673
528 164 562
502 37 736
738 484 108
755 585 710
310 219 95
476 624 75
83 148 947
131 518 232
586 786 96
587 147 897
14 350 320
480 378 35
186 702 183
33 522 325
144 181 301
82 383 491
309 107 521
451 382 855
792 568 899
496 98 963
233 704 867
288 229 339
209 15 190
244 473 879
648 666 227
779 763 914
14 497 244
121 462 785
615 293 988
497 369 459
371 116 301
201 204 793
17 56 540
17 563 114
204 199 22
174 443 777
133 776 507
269 568 482
68 216 282
753 224 621
514 21 500
469 229 480
505 203 63
705 110 267
790 4 143
453 232 609
33 391 861
750 656 789
819 683 734
583 617 185
593 250 925
50 824 782
434 170 912
288 236 541
781 218 539
357 495 364
352 668 986
563 609 72
154 343 382
761 594 236
280 37 366
730 692 652
16 5 741
514 194 949
192 729 645
437 754 887
210 427 57
520 536 259
696 431 999
236 39 410
491 620 433
141 275 375
313 724 453
69 535 949
805 798 905
28 107 83
183 1 881
554 823 373
813 736 567
155 734 537
47 142 182
445 158 995
536 83 765
67 243 668
484 423 262
524 652 374
175 804 999
74 49 709
403 757 329
87 516 428
773 150 315
825 380 823
465 440 977
134 199 772
606 509 730
382 61 59
349 756 736
612 667 63
313 321 631
710 390 351
633 278 978
244 317 357
433 151 443
363 467 318
108 448 302
30 713 683
206 778 591
824 10 845
495 678 624
13 785 49
717 74 904
232 405 750
144 17 592
684 784 710
432 23 2
248 202 961
556 127 916
518 158 502
154 617 366
12 93 453
826 3 165
521 619 24
47 516 125
115 820 859
620 357 685
640 49 457
749 219 11
829 678 798
828 776 654
613 389 243
147 461 5
205 110 277
206 554 556
317 286 873
90 408 273
352 2 255
305 503 921
737 684 239
264 779 156
185 630 44
799 723 888
333 441 487
755 22 625
371 464 581
53 20 273
692 155 80
788 698 802
439 284 505
666 156 686
360 323 504
293 701 392
472 349 487
670 594 537
75 273 554
418 47 674
515 252 373
257 287 95
177 559 123
726 435 444
512 403 961
822 405 12
14 275 848
758 253 536
336 61 813
752 811 467
415 743 709
225 528 141
153 425 156
311 440 846
495 150 794
483 348 481
425 626 10
765 547 138
4 279 205
593 88 118
464 568 605
217 408 835
572 138 981
227 816 318
751 455 958
318 202 698
742 478 963
756 611 286
470 540 52
762 728 479
411 114 10
621 222 963
638 479 342
310 203 782
670 7 508
701 760 438
381 232 117
385 644 165
548 717 808
142 657 108
473 543 224
300 671 620
535 748 650
191 686 462
423 299 712
225 681 856
441 742 392
513 135 351
123 621 397
61 831 903
491 809 272
353 389 465
660 270 236
423 273 45
673 655 525
220 397 508
666 61 144
17 717 148
426 193 773
1 477 562
614 413 728
439 623 895
61 547 558
309 462 893
37 74 558
771 418 174
425 720 8
644 199 308
802 687 669
693 68 982
501 409 255
59 635 242
597 697 499
756 119 666
821 257 289
774 384 139
238 415 619
791 108 78
822 43 92
475 423 620
76 658 405
270 506 81
169 291 626
376 813 213
636 367 274
619 612 16
106 285 784
74 826 340
773 692 591
253 103 679
659 62 717
191 106 704
714 539 249
239 78 592
429 188 10
811 729 311
833 725 156
59 203 78
230 325 202
545 705 708
356 690 199
156 714 173
502 195 759
24 687 693
577 630 462
194 387 972
490 275 296
555 159 249
89 716 349
365 514 413
135 461 576
271 530 643
776 597 27
458 443 544
185 629 516
342 660 208
317 834 855
394 94 309
310 51 894
695 391 20
112 225 584
40 333 831
447 284 160
707 642 688
814 419 183
316 138 768
286 224 439
430 127 990
670 679 554
294 617 934
639 105 952
319 180 625
101 553 341
337 33 262
216 526 59
433 807 758
358 104 576
329 112 157
640 229 976
97 432 899
580 158 806
760 49 918
418 342 711
501 428 798
830 243 684
656 60 978
487 385 275
99 486 313
1 649 23
129 48 151
751 64 191
734 423 714
610 750 771
213 74 102
723 509 367
826 337 968
541 183 615
131 327 555
779 6 253
52 434 548
695 205 704
747 473 471
367 149 845
89 392 362
603 76 440
585 778 139
748 29 362
500 7 794
562 649 194
236 132 238
104 771 282
332 84 312
81 58 708
733 668 903
727 225 738
454 224 709
569 265 200
310 669 558
743 639 391
117 309 787
709 425 164
442 121 302
351 434 513
643 2 71
255 181 613
369 114 941
828 568 602
678 13 10
509 22 831
35 161 209
324 668 537
309 469 202
430 168 836
723 511 559
440 545 992
641 687 195
191 289 413
451 443 734
44 693 930
508 481 99
453 556 184
333 683 479
258 115 738
362 647 595
418 581 273
805 202 590
687 491 772
594 343 518
301 491 150
488 208 848
610 334 989
567 535 702
421 661 859
326 456 633
369 17 740
598 498 428
598 330 519
209 340 993
348 576 924
478 39 288
227 119 679
709 773 295
80 72 939
22 397 324
411 651 957
112 460 623
386 569 517
726 371 462
514 347 352
183 783 248
177 353 135
514 186 806
310 421 778
216 214 475
441 725 633
819 31 993
169 602 194
484 44 694
92 384 915
674 265 813
383 536 633
464 306 736
363 194 122
1 57 173
44 216 713
172 313 764
602 377 689
572 94 940
676 134 182
71 368 857
819 776 612
367 282 559
705 619 366
121 727 677
824 516 102
686 663 62
51 732 890
516 751 359
404 554 441
685 190 985
554 86 367
492 120 157
379 272 898
109 5 786
129 650 150
404 153 529
670 456 971
280 381 427
327 207 717
430 31 399
607 485 599
658 291 392
740 762 70
417 559 641
4 352 660
245 127 297
356 666 841
9 355 450
676 7 709
269 700 364
26 421 199
569 228 650
355 312 75
660 703 517
782 59 878
10 240 855
505 597 618
418 616 516
402 680 397
638 107 670
258 225 154
216 660 222
775 156 740
312 5 181
628 634 198
790 77 52
633 329 73
367 110 665
560 274 870
31 35 222
326 30 182
680 35 497
278 661 417
622 488 767
719 325 27
436 559 143
738 4 160
641 295 782
198 431 492
485 606 917
20 615 146
392 791 517
538 108 88
786 461 794
161 50 820
730 414 491
31 727 72
565 643 62
183 188 37
267 208 665
239 744 193
55 750 550
517 138 409
189 541 902
565 208 695
645 439 386
16 163 42
477 788 420
645 243 413
426 282 840
738 826 866
110 600 934
179 195 389
239 303 800
374 482 610
414 283 138
420 138 273
284 369 334
30 65 645
44 70 315
469 475 817
96 28 469
544 349 576
422 256 498
812 284 728
220 490 506
327 176 730
685 832 435
192 155 54
328 294 272
222 180 554
96 636 878
419 332 98
462 698 66
445 325 77
36 57 119
648 606 255
642 833 704
393 26 942
267 527 296
605 402 837
53 112 486
813 219 420
37 438 62
661 83 319
293 35 338
493 69 291
537 212 608
347 184 424
603 610 958
659 717 508
491 302 741
370 429 874
179 679 977
682 204 123
340 608 602
254 703 380
237 729 368
265 240 554
206 562 490
597 790 592
369 185 879
126 549 55
18 606 967
105 641 894
36 32 465
85 602 507
465 825 308
238 521 317
630 506 670
266 444 132
236 143 841
382 589 684
659 788 643
573 229 7
337 89 373
821 230 939
447 4 905
233 228 588
681 670 100
766 349 277
788 120 839
498 430 910
124 562 790
774 428 695
84 467 815
527 95 681
830 548 498
177 17 37
38 446 865
821 698 493
366 218 417
259 197 10
390 369 836
824 208 500
8 351 573
612 632 196
64 657 268
66 460 465
531 163 45
389 1 374
73 186 114
403 665 172
178 47 34
68 347 679
154 566 239
62 245 89
399 398 847
595 795 385
346 200 382
112 697 957
533 424 556
548 37 919
825 82 924
550 299 756
133 316 35
117 481 517
221 190 734
32 793 95
336 9 937
21 142 124
293 310 846
520 722 937
118 3 204
176 515 328
802 540 753
402 319 878
765 376 43
719 517 390
83 386 707
356 231 886
823 790 385
11 741 617
620 598 542
613 814 246
99 279 588
498 617 733
500 217 657
250 784 622
730 405 992
684 733 425
205 352 958
245 302 941
616 117 765
579 37 796
249 464 454
694 586 417
761 612 293
596 295 820
301 178 8
292 54 591
193 514 795
407 47 718
694 730 56
20 135 792
112 188 843
543 15 678
508 656 22
702 758 743
687 746 949
665 389 645
87 634 856
733 734 995
441 167 229
756 676 587
585 627 445
622 724 511
216 445 137
355 695 393
541 311 141
598 328 73
188 384 514
169 523 472
268 572 130
772 486 776
500 721 804
331 233 136
106 728 133
381 564 215
389 334 765
107 711 852
341 310 432
651 421 975
661 750 832
438 663 625
762 744 201
811 757 336
557 271 381
574 328 235
457 690 128
550 654 118
644 613 620
636 72 514
156 80 998
702 425 462
477 640 311
385 782 820
553 339 440
484 288 492
536 345 981
771 788 192
704 539 109
734 733 64
356 733 660
83 160 572
782 512 146
573 258 845
460 410 952
188 466 383
799 516 320
781 15 840
129 790 240
222 451 74
755 87 667
228 104 724
704 713 84
346 343 553
128 184 191
690 609 585
156 105 874
468 634 590
265 41 211
451 110 351
18 84 358
772 363 586
633 747 190
40 89 932
827 821 69
172 254 185
764 626 914
574 120 244
97 407 389
267 22 546
623 783 650
433 434 825
661 117 629
694 546 629
450 619 627
383 362 647
153 78 943
428 225 302
165 286 552
820 92 512
156 220 74
482 147 96
744 72 554
141 302 772
285 487 133
592 798 469
51 368 494
329 732 315
532 635 402
688 652 482
691 142 831
660 130 274
473 594 49
473 220 408
101 664 19
87 309 515
823 825 824
506 74 553
387 399 707
317 419 178
78 556 242
390 665 998
216 433 811
61 170 243
39 628 493
552 353 876
746 728 807
734 466 889
9 286 824
153 728 362
682 332 812
280 744 975
374 803 474
532 73 773
395 621 950
414 82 181
338 466 265
348 481 274
641 819 77
730 771 282
471 188 792
644 417 75
147 668 202
510 615 240
201 24 189
475 566 108
477 625 30
123 458 132
451 341 979
460 256 874
527 657 254
80 156 202
298 830 450
218 740 744
70 390 803
581 230 333
414 155 453
198 32 477
745 544 288
782 804 652
364 691 366
165 161 614
214 146 512
131 237 197
313 828 335
577 514 544
93 199 177
338 58 206
300 798 200
781 373 149
285 133 707
305 409 96
526 706 870
48 753 316
278 381 61
677 137 13
679 444 190
268 56 370
5 712 453
765 672 696
712 673 820
381 67 990
76 323 969
30 671 208
110 777 348
458 420 841
599 590 260
659 802 287
438 188 663
173 141 982
461 215 644
629 738 21
344 361 254
630 230 482
439 67 589
695 793 367
393 637 821
181 697 274
403 141 105
416 502 36
332 299 593
449 319 823
797 69 780
615 280 888
831 702 139
166 739 32
829 299 168
600 118 556
397 351 984
234 331 450
791 121 962
430 162 630
803 230 745
575 400 605
229 99 338
771 599 981
521 774 576
46 371 699
457 745 873
705 832 528
658 641 518
807 342 270
470 801 913
143 595 693
769 48 181
703 507 648
255 4 890
769 56 394
418 59 361
173 138 485
748 376 910
56 184 243
481 629 788
395 514 474
282 787 899
533 471 641
813 380 484
509 450 280
335 830 280
26 634 395
265 581 914
568 37 588
153 20 569
210 45 532
506 245 454
624 287 298
59 183 647
483 89 472
115 206 652
789 522 589
204 513 214
64 696 72
529 39 805
618 156 92
702 59 36
397 48 351
210 507 411
513 215 991
454 355 86
264 763 771
743 503 782
517 65 397
585 3 416
801 238 930
830 637 119
531 45 735
478 545 830
493 803 490
69 129 708
293 587 947
474 380 79
397 438 524
427 175 167
299 575 36
741 609 45
564 2 106
478 518 245
36 421 576
548 177 687
165 316 488
770 104 194
375 524 108
599 534 736
539 625 883
25 216 577
737 643 279
16 289 407
531 160 595
207 464 30
604 152 595
204 655 203
698 58 814
748 211 514
156 7 265
321 133 281
394 364 273
388 653 213
274 754 183
823 123 110
102 338 308
640 435 547
108 729 288
281 148 73
34 806 515
271 699 20
73 217 497
681 51 144
189 478 576
411 456 643
160 657 19
73 485 611
698 292 37
773 89 639
741 748 781
808 785 476
15 400 359
510 633 473
62 816 731
654 101 667
38 581 981
629 479 905
285 538 504
812 377 519
348 174 229
493 550 448
513 735 405
451 464 560
770 696 832
119 346 231
605 196 604
29 120 479
172 789 55
506 171 770
619 45 943
13 326 25
404 344 916
15 345 518
97 205 305
530 545 174
647 791 558
427 406 763
558 551 935
540 780 654
154 200 466
107 263 317
684 467 385
85 359 752
791 662 615
726 509 687
751 390 850
524 667 696
385 585 879
160 137 275
23 435 28
390 482 810
597 259 729
747 55 389
261 398 483
234 686 954
5 116 889
358 78 794
412 239 867
10 78 59
213 104 481
4 654 804
321 263 96
657 820 862
553 262 65
518 235 522
394 667 837
748 74 917
163 559 449
228 74 722
607 811 544
772 508 416
341 498 545
93 456 234
773 670 43
590 422 53
692 347 27
93 14 457
475 597 872
289 114 965
756 719 414
651 629 460
286 343 410
188 500 674
511 338 549
362 591 149
155 627 956
36 776 962
693 56 550
341 545 465
609 315 516
445 668 440
450 630 635
600 663 140
443 437 947
47 93 300
246 614 829
734 713 449
465 314 544
621 672 393
813 370 422
804 48 268
293 372 918
814 214 351
774 345 883
813 310 375
578 673 210
106 279 911
407 29 713
429 112 147
140 443 690
60 269 761
730 614 440
573 704 949
685 119 853
133 566 270
721 28 341
637 437 762
668 415 491
619 514 562
205 444 989
715 687 433
209 634 27
297 162 729
622 44 717
166 131 580
223 106 936
825 429 162
479 232 826
789 586 227
431 188 776
665 599 964
735 368 839
270 98 265
55 314 457
384 705 840
248 164 980
748 241 514
279 363 320
664 279 176
501 64 900
585 150 451
77 494 453
718 373 198
16 498 440
132 781 853
632 623 970
623 276 267
568 409 24
811 430 788
419 262 817
781 358 196
72 588 684
25 90 315
112 479 887
199 720 452
489 10 111
210 410 425
240 596 713
141 336 688
6 674 923
679 99 396
480 302 983
206 117 479
23 533 555
794 382 36
744 496 917
308 203 314
11 709 395
810 217 108
156 523 293
417 328 42
714 379 937
588 664 48
431 609 936
263 41 757
584 666 907
647 673 98
364 476 440
54 381 936
36 158 197
513 573 150
28 243 132
388 137 146
755 508 718
57 607 25
227 711 539
814 65 167
376 379 752
321 509 531
259 463 393
744 389 383
4 570 175
126 737 258
4 202 145
385 464 313
657 29 474
551 681 552
89 172 686
757 284 319
388 37 931
504 189 735
690 20 433
398 304 716
138 546 387
311 728 138
553 672 387
701 574 276
166 247 446
708 575 515
219 105 95
306 247 159
166 126 230
228 256 751
17 531 956
399 349 221
101 56 431
499 359 733
143 659 94
268 730 295
811 541 954
609 286 548
242 670 888
705 589 987
823 786 701
128 750 62
54 707 147
674 486 400
146 278 521
98 367 632
311 718 470
215 228 341
263 57 577
527 209 148
178 779 113
5 476 904
165 539 235
792 743 597
718 766 634
439 427 669
39 222 7
466 85 567
710 35 19
55 82 697
442 306 553
86 738 758
703 198 598
266 742 536
518 180 552
67 815 961
68 496 869
563 781 363
320 603 729
632 137 874
232 52 826
297 476 809
333 177 609
312 186 954
480 476 84
707 125 285
124 660 684
704 86 989
122 355 65
760 555 502
814 674 491
80 452 89
128 554 133
309 126 788
614 565 178
554 432 980
43 751 355
814 458 688
355 697 265
772 593 910
834 448 132
34 130 40
483 351 87
145 627 224
184 147 551
211 587 965
724 686 298
475 238 107
340 303 910
394 660 342
434 542 323
295 374 928
284 253 221
105 788 150
105 246 776
76 185 472
139 540 613
370 264 442
832 307 359
382 482 689
531 719 152
519 364 11
153 658 48
695 714 570
544 511 700
173 620 787
219 312 872
13 691 228
431 415 512
18 67 652
371 823 786
90 116 36
446 230 927
72 785 378
540 682 488
94 231 16
817 483 567
158 677 833
69 257 681
676 615 618
8 196 60
621 388 846
169 603 492
75 33 181
307 491 494
657 523 251
161 71 519
613 468 706
799 345 806
289 64 451
510 574 164
272 628 438
707 486 130
116 141 293
219 317 330
3 284 540
315 225 594
94 702 180
786 768 16
819 382 474
523 414 239
18 350 122
601 654 909
620 351 698
303 100 495
508 169 418
347 435 589
617 323 904
301 455 681
259 665 178
694 575 632
816 129 528
301 450 970
825 763 58
86 165 700
30 694 333
558 546 771
230 84 702
389 790 42
57 347 208
405 650 783
806 681 172
608 261 897
490 393 396
232 729 65
428 350 929
755 36 56
765 197 538
245 610 889
283 569 653
385 598 322
394 194 454
485 793 439
6 90 128
153 101 887
106 471 2
343 750 226
455 616 907
578 83 381
106 616 914
279 179 585
468 29 717
380 277 532
820 36 990
285 785 359
722 204 736
53 418 758
23 117 119
139 472 718
418 413 545
403 784 159
4 577 562
207 370 491
407 541 795
450 207 52
338 252 123
620 643 741
478 596 250
765 21 805
569 335 83
141 293 397
535 397 84
260 523 78
232 240 641
792 39 759
492 5 679
225 52 983
534 240 910
360 128 326
396 554 319
94 617 661
169 4 945
755 120 187
337 223 523
760 395 337
92 538 647
328 163 407
814 474 810
625 662 257
319 221 229
620 585 90
515 673 747
40 226 448
578 539 221
172 289 11
220 469 793
692 720 412
791 778 86
660 580 289
798 620 520
709 750 679
34 283 390
825 240 717
12 316 145
294 173 202
328 784 725
606 739 273
435 254 615
659 761 219
145 696 660
668 716 754
635 687 193
298 288 71
329 10 349
452 831 3
395 206 124
101 511 158
73 737 406
229 651 718
636 704 455
777 561 466
731 78 636
289 671 734
799 193 100
688 559 153
573 182 94
76 801 40
397 706 215
390 385 707
222 473 909
379 508 55
69 106 856
576 361 562
187 112 663
641 121 820
101 743 841
498 356 827
246 335 252
19 164 163
378 206 409
225 528 943
28 475 917
300 36 511
711 533 974
754 502 112
398 481 30
233 287 242
20 709 970
9 649 150
784 297 347
279 416 879
782 30 854
168 406 44
590 242 527
625 315 670
429 9 141
709 737 501
613 71 781
77 28 309
815 761 37
682 705 218
48 547 96
661 345 428
45 267 997
275 288 763
414 209 780
204 539 355
3 128 803
96 536 676
752 366 788
480 142 919
326 759 101
192 275 255
622 771 994
146 662 671
261 125 468
290 605 825
186 460 496
795 680 80
232 106 830
257 130 470
465 47 315
12 34 426
792 60 305
656 818 628
370 608 39
65 710 307
311 142 180
831 799 301
709 354 833
185 225 865
657 358 644
757 46 465
129 688 205
634 312 625
405 464 231
441 583 584
260 565 813
329 200 126
569 510 165
389 513 852
386 606 10
239 685 218
630 671 888
447 830 143
207 314 751
286 565 434
216 5 948
338 197 637
111 804 973
453 825 566
666 197 588
149 22 716
593 340 306
572 515 652
701 197 579
122 9 347
12 502 581
19 89 716
659 141 165
684 389 189
464 462 550
386 122 373
298 253 666
434 375 751
487 360 586
120 527 159
687 322 313
697 356 294
496 570 879
373 642 503
692 254 297
579 510 119
109 16 30
258 682 502
16 252 431
582 276 421
128 167 757
348 229 990
243 831 454
690 412 712
107 56 579
496 26 960
32 77 130
93 398 887
554 194 38
626 617 858
345 95 609
224 503 969
243 219 252
482 314 719
560 586 329
755 786 789
493 644 75
417 555 599
734 670 669
765 109 122
376 28 489
245 422 965
369 155 364
139 119 843
151 296 527
646 621 591
109 176 222
732 355 841
257 158 961
316 578 832
196 757 100
684 145 567
356 480 484
59 115 522
30 186 116
185 684 634
349 377 382
432 307 63
717 695 317
757 538 903
122 647 13
727 430 343
636 106 55
747 133 204
641 234 106
488 687 191
282 397 242
673 636 809
610 152 584
663 652 299
730 449 97
509 785 136
194 320 41
283 194 753
263 439 827
566 329 619
336 343 445
383 173 861
757 774 595
782 510 239
370 640 447
623 610 671
182 6 399
174 47 151
709 57 443
158 507 863
148 556 294
211 166 638
16 522 307
148 226 166
648 415 404
5 366 777
432 802 977
384 663 357
275 532 454
447 227 220
157 223 234
156 364 707
514 393 309
41 197 755
573 23 570
730 549 540
657 229 185
698 815 747
140 798 479
665 218 487
706 395 50
133 258 7
191 336 378
43 498 706
642 503 494
420 507 138
742 769 648
831 603 420
661 177 938
657 363 86
106 259 830
718 766 442
831 465 270
575 292 114
12 493 960
476 311 893
388 90 405
720 531 607
270 520 434
348 673 236
258 122 630
543 797 308
415 628 719
363 195 187
645 794 188
635 565 796
164 21 365
419 181 673
482 381 882
714 705 545
436 678 306
335 376 477
718 424 399
622 506 970
247 702 921
49 50 801
291 719 538
203 282 343
765 251 735
148 514 404
433 323 301
784 71 197
341 214 799
625 830 666
342 101 66
451 699 522
180 742 507
274 455 312
10 180 594
297 73 673
573 758 715
122 105 392
286 120 875
834 811 637
160 524 480
224 176 749
35 785 695
647 629 432
442 801 538
596 271 928
11 439 917
737 551 589
74 584 863
176 3 771
257 251 895
53 478 710
717 492 582
50 140 82
37 513 164
445 580 956
563 304 395
333 62 425
580 502 929
225 224 773
149 123 747
509 552 248
427 172 408
522 346 168
445 746 114
225 25 337
131 301 15
202 809 404
572 30 599
135 810 565
799 336 6
657 482 904
427 416 422
692 16 711
771 302 882
813 54 153
188 797 934
616 289 75
30 405 564
317 672 487
28 505 561
765 202 189
778 585 607
315 270 672
738 180 132
186 573 669
224 13 702
693 195 846
133 456 250
713 326 751
814 31 211
131 510 242
292 602 558
409 513 373
513 310 759
348 442 855
431 166 727
565 666 102
694 325 256
597 225 179
471 667 912
214 406 498
160 465 408
224 82 910
268 333 204
823 593 968
571 834 862
195 536 401
769 298 679
296 413 690
801 353 348
455 154 663
13 179 483
626 35 42
394 169 774
574 483 167
240 574 57
47 54 600
125 600 695
696 800 550
821 596 588
594 503 25
35 25 181
750 99 425
456 776 384
380 318 703
234 96 628
599 625 390
78 777 353
256 824 543
156 302 784
578 714 135
573 814 613
255 296 925
185 607 803
3 519 403
195 594 226
106 274 382
519 219 231
555 242 602
528 656 379
199 206 716
448 611 63
173 738 560
755 175 316
566 283 738
148 336 947
61 6 941
713 345 948
215 620 491
183 416 206
814 385 635
337 537 881
136 616 788
175 618 404
20 790 217
231 498 824
143 111 612
61 351 235
260 471 812
216 237 73
171 569 53
33 246 29
688 26 167
447 824 81
773 106 603
171 716 115
23 651 881
834 682 207
281 834 698
259 471 653
585 133 856
62 37 52
377 701 462
348 16 154
617 264 423
615 720 856
439 513 298
713 762 729
756 375 78
827 113 147
566 561 243
522 198 504
122 139 870
285 802 505
643 352 188
18 481 844
748 181 1
717 328 97
461 338 902
500 358 565
491 274 993
354 782 925
550 763 336
828 297 899
541 377 683
678 233 822
51 69 441
584 50 414
236 56 795
461 21 301
390 231 167
159 662 382
302 629 75
452 295 934
281 327 1000
366 378 967
362 550 26
634 187 679
117 36 16
91 831 636
126 451 39
826 353 282
41 123 877
406 209 347
219 110 766
547 632 88
368 245 953
785 818 761
26 335 503
342 742 285
126 391 492
258 755 210
435 695 73
193 16 347
176 672 916
190 833 596
286 395 204
777 773 222
443 672 724
128 142 834
128 75 919
89 332 785
59 277 845
639 139 21
340 622 722
494 225 891
165 746 502
97 664 403
251 475 862
728 321 748
372 742 546
396 790 210
458 546 691
71 156 174
701 264 634
424 344 200
133 790 550
399 767 269
101 316 439
281 790 499
413 279 482
19 491 298
670 509 204
158 508 529
18 23 507
626 139 269
191 178 635
306 607 715
525 433 15
372 658 293
212 831 569
622 811 566
731 732 816
649 509 24
501 824 684
618 209 497
644 292 426
708 748 349
696 822 333
645 824 456
693 341 72
244 485 433
547 524 326
824 809 288
212 777 865
621 819 399
18 454 904
361 365 893
701 553 911
287 228 849
232 279 926
608 383 98
102 73 912
241 625 323
311 713 371
342 736 28
590 705 366
237 131 538
11 228 618
170 524 289
765 772 254
199 787 758
317 820 602
55 180 349
506 609 588
427 625 523
90 193 892
783 498 937
664 354 389
3 92 62
826 679 873
816 486 14
419 73 572
748 142 388
288 812 143
375 277 20
145 9 810
793 691 530
271 664 688
149 42 291
277 243 49
64 325 27
747 164 787
816 812 293
607 645 468
259 735 799
134 447 77
558 810 775
430 108 926
361 237 823
501 92 213
823 566 124
667 684 832
401 762 30
734 741 730
724 600 888
218 228 330
758 495 219
71 140 616
363 649 123
438 592 393
107 792 487
411 50 548
748 642 360
196 319 272
810 458 768
5 689 748
732 50 723
376 535 69
147 175 253
535 465 175
10 133 473
785 243 512
349 365 703
695 72 945
241 716 725
230 376 188
301 755 437
257 125 554
321 579 337
425 561 748
424 211 935
529 645 619
48 300 50
541 342 443
747 304 892
722 757 545
11 294 295
640 753 879
483 478 315
703 332 66
202 728 67
808 619 65
569 11 949
540 805 72
235 620 11
698 577 355
311 124 585
61 314 487
565 485 309
382 725 907
588 424 291
563 48 270
347 370 278
293 560 988
269 15 529
435 760 880
491 242 796
185 757 216
748 392 360
412 52 667
471 292 148
551 390 450
21 391 473
410 115 97
60 753 450
587 574 173
242 100 687
266 644 92
